pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-04-17 19:47:13,Bang Average FC,Yes,xboxone,1940614,1,WWWWWWWWWW,635,495,75,65,1712,2.7,474,0.75,1238,9,63,0,1,25,British Isles,Estadio Santiago Bernabéu,19045,19045,0,43,8,51
2023-04-17 19:47:13,FootieXI,Yes,xboxone,4339359,1,WWWWWWWWWD,625,509,58,58,1943,3.11,640,1.02,1303,9,62,0,1,25,British Isles,Old Trafford,20309,20309,0,51,9,60
2023-04-17 19:47:13,NO TRUENES,Yes,xboxone,3705104,1,WWWWWWWWLD,572,474,59,39,1863,3.26,593,1.04,1270,9,57,0,1,25,Central America,ESTADIO DE TRONACION,19169,19169,0,49,9,58
2023-04-17 19:47:13,rock club,Yes,xboxone,542709,2,WWLLLLLLLD,1553,1098,204,251,4391,2.83,1774,1.14,2617,13,152,5,1,25,British Isles,Johan Cruijff ArenA,42012,42012,0,94,5,99
2023-04-17 19:47:13,XVC AC MILAN,Yes,xboxone,10205899,1,WWWWWWWWLD,328,270,21,37,1065,3.25,324,0.99,741,9,29,0,1,25,British Isles,Old Trafford,9773,9773,0,21,9,30
2023-04-17 19:47:13,Caribbean Utd,Yes,xboxone,3488479,1,WWWWWWWWLD,411,266,67,78,889,2.16,483,1.18,406,11,34,2,1,25,East Coast US,Johan Cruijff ArenA,9288,9288,0,14,5,19
2023-04-17 19:47:13,WE DONT STOP XI,Yes,xboxone,5580259,1,WWWWWWWLLD,243,219,15,9,765,3.15,149,0.61,616,9,22,0,1,25,British Isles,Loftus Road,8280,8280,0,19,9,28
2023-04-17 19:47:13,Persian United,Yes,xboxone,3217054,1,WWWWWWWWLL,665,446,95,124,1840,2.77,938,1.41,902,13,58,4,1,25,British Isles,El Alcoraz,16146,16146,0,30,8,38
2023-04-17 19:47:13,La Masia,Yes,xboxone,5744439,1,WWWWWWLDDD,282,192,30,60,734,2.6,339,1.2,395,10,21,1,1,25,British Isles,BC Place,6186,6186,0,8,9,17
2023-04-17 19:47:13,Can I Stay FC,Yes,xboxone,506409,1,WWWWWWWWWL,764,581,89,94,2523,3.3,1125,1.47,1398,9,77,0,1,25,British Isles,Loftus Road,23144,23144,0,54,9,63
2023-04-17 19:47:13,Aouar Akbar,Yes,xboxone,12894,1,WWWWWWWWWW,769,452,128,189,2033,2.64,1344,1.75,689,16,62,7,1,25,British Isles,Estadio Santiago Bernabéu,14683,14683,0,16,10,26
2023-04-17 19:47:13,CF Peques de AZ,Yes,xboxone,7976594,1,WWWWWWWWLD,614,404,87,123,1865,3.04,943,1.54,922,12,52,3,1,25,Central America,Estádío Péqueño,14512,14512,0,25,11,36
2023-04-17 19:47:13,Quaresma Ball,Yes,xboxone,8881854,2,WWWWWLLLLD,877,614,123,140,2635,3.0,1358,1.55,1277,11,83,3,1,25,British Isles,Estadio de la Cerámica,22727,22727,0,46,9,55
2023-04-17 19:47:13,Jackie Chang CF,Yes,xboxone,341689,1,WWWWWWWWWL,1104,716,172,216,2871,2.6,1523,1.38,1348,15,99,6,1,25,British Isles,Johan Cruijff ArenA,25263,25263,0,46,10,56
2023-04-17 19:47:13,Jénnä0rtégäBOYS,Yes,xboxone,13276074,1,WWWWWWWWLL,409,234,51,124,1113,2.72,735,1.8,378,16,24,7,1,25,Southern Europe,Estadio Santiago Bernabéu,6451,6451,0,4,10,14
