pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-03-20 18:05:16,Bang Average FC,Yes,xboxone,1940614,1,WWWWWWLLDD,510,393,62,55,1339,2.63,380,0.75,959,9,49,0,1,25,British Isles,San Siro,14862,14862,0,32,8,40
2023-03-20 18:05:16,FootieXI,Yes,xboxone,4339359,1,WWWWWWWLLD,496,397,51,48,1518,3.06,520,1.05,998,9,48,0,1,25,British Isles,Old Trafford,15603,15603,0,37,9,46
2023-03-20 18:05:16,NO TRUENES,Yes,xboxone,3705104,1,WWWWWWWLLD,499,415,51,33,1622,3.25,510,1.02,1112,9,49,0,1,25,Central America,ESTADIO DE TRONACION,16656,16656,0,42,9,51
2023-03-20 18:05:16,rock club,Yes,xboxone,542709,1,WWWWWWLLDD,1260,864,183,213,3390,2.69,1437,1.14,1953,13,120,4,1,25,British Isles,Parc des Princes,32806,32806,0,70,5,75
2023-03-20 18:05:16,XVC AC MILAN,Yes,xboxone,10205899,1,WWWWWWWWLD,328,270,21,37,1065,3.25,324,0.99,741,9,29,0,1,25,British Isles,Old Trafford,9773,9773,0,21,9,30
2023-03-20 18:05:16,Caribbean Utd,Yes,xboxone,3488479,1,WWWWWWWWLD,411,266,67,78,889,2.16,483,1.18,406,11,34,2,1,25,East Coast US,Johan Cruijff ArenA,9288,9288,0,14,5,19
2023-03-20 18:05:16,WE DONT STOP XI,Yes,xboxone,5580259,1,WWWWWWWLLD,243,219,15,9,765,3.15,149,0.61,616,9,22,0,1,25,British Isles,Loftus Road,8280,8280,0,19,9,28
2023-03-20 18:05:16,Persian United,Yes,xboxone,3217054,1,WWWWWWWWWW,642,429,92,121,1776,2.77,911,1.42,865,13,55,4,1,25,British Isles,El Alcoraz,15156,15156,0,27,8,35
2023-03-20 18:05:16,Precise Footy,Yes,xboxone,264654,1,WWWWWWWWLL,210,184,18,8,682,3.25,158,0.75,524,9,16,0,1,25,British Isles,pF Arena,6810,6810,0,16,9,25
2023-03-20 18:05:16,Quaresma Ball,Yes,xboxone,8881854,1,WWWWWWLLDD,655,450,97,108,1930,2.95,1007,1.54,923,11,59,2,1,25,British Isles,Estádio do Dragão,16247,16247,0,30,9,39
2023-03-20 18:05:16,KingsOfTheNorth,Yes,xboxone,301109,1,WWWWWWWWDD,369,239,70,60,962,2.61,430,1.17,532,9,33,0,1,25,Central America,Cívitas METROPOLITANO,8773,8773,0,12,9,21
2023-03-20 18:05:16,simplegiveandgo,Yes,xboxone,7672624,1,WWWWWWWLLD,227,166,28,33,626,2.76,242,1.07,384,9,17,0,1,25,British Isles,Waldstadion,5507,5507,0,8,8,16
2023-03-20 18:05:16,La Masia,Yes,xboxone,5744439,1,WWWWWLLLLD,257,176,25,56,674,2.62,315,1.23,359,10,18,1,1,25,British Isles,BC Place,5538,5538,0,7,9,16
2023-03-20 18:05:16,Can I Stay FC,Yes,xboxone,506409,1,WWWWWWWLDD,670,505,78,87,2182,3.26,971,1.45,1211,9,67,0,1,25,British Isles,Loftus Road,19800,19800,0,44,9,53
2023-03-20 18:05:16,BRAZIL SKILL,Yes,xboxone,11171349,1,WWWWWWLLLL,556,365,78,113,1469,2.64,726,1.31,743,13,46,4,1,25,British Isles,San Siro,12259,12259,0,17,11,28
2023-03-20 18:05:16,Aouar Akbar,Yes,xboxone,12894,1,WWWWWLLLLD,649,375,114,160,1687,2.6,1133,1.75,554,16,49,7,1,25,British Isles,Estadio Santiago Bernabéu,11899,11899,0,12,10,22
2023-03-20 18:05:16,The old goats,Yes,xboxone,5874864,1,WWWWWLLLDD,500,325,82,93,1223,2.45,602,1.2,621,10,46,1,1,25,British Isles,the goats arena,11670,11670,0,16,9,25
2023-03-20 18:05:16,Jackie Chang CF,Yes,xboxone,341689,1,WWWWWLLDDD,867,551,136,180,2172,2.51,1188,1.37,984,15,73,6,1,25,British Isles,Johan Cruijff ArenA,18869,18869,0,33,10,43
2023-03-20 18:05:16,Cachones FC,Yes,xboxone,1898514,1,WWWWWWWLDD,445,300,62,83,1454,3.27,781,1.76,673,11,37,2,1,25,East Coast US,Cachones Fc,10542,10542,0,18,9,27
2023-03-20 18:05:16,BbuttinSC,Yes,xboxone,3860439,1,WWWWWWWWWL,623,441,82,100,1911,3.07,1022,1.64,889,11,57,2,1,25,East Coast US,Anfield,15882,15882,0,29,10,39
2023-03-20 18:05:16,upper 9O,Yes,xboxone,6693429,1,WWWWWWLLLD,798,487,123,188,1914,2.4,1105,1.38,809,17,63,8,1,25,East Coast US,JUST 90s & DUBzz,15907,15907,0,24,10,34
2023-03-20 18:05:16,MARIOS ACADEMY,Yes,xboxone,738199,1,WWWWWWWWWD,874,580,136,158,2125,2.43,1051,1.2,1074,15,77,6,1,25,British Isles,Tottenham Hotspur Stadium,20766,20766,0,37,12,49
2023-03-20 18:05:16,Heaton Massive,Yes,xboxone,63724,1,WWWWWWWWWW,367,228,70,69,897,2.44,435,1.19,462,12,27,3,1,25,British Isles,Estadio Santiago Bernabéu,8123,8123,0,12,9,21
2023-03-20 18:05:16,Fifa Is Ruined,Yes,xboxone,850104,1,WWWWWWWWLL,898,669,107,122,2979,3.32,1312,1.46,1667,10,88,1,1,25,British Isles,San Siro,25953,25953,0,59,8,67
